repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
docker-agent-action,release.yml,workflow,HUB_ORG,secret,step,public,0,0,0,https://github.com/docker/docker-agent-action/blob/main/.github/workflows/release.yml,https://github.com/docker/docker-agent-action
hub-mcp,release.yml,workflow,HUB_PLATFORM_APP_ID,secret,step,public,0,0,0,https://github.com/docker/hub-mcp/blob/main/.github/workflows/release.yml,https://github.com/docker/hub-mcp
hub-mcp,release.yml,workflow,HUB_PLATFORM_APP_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/docker/hub-mcp/blob/main/.github/workflows/release.yml,https://github.com/docker/hub-mcp
labs-ai-tools-for-devs,prompts-docker.yml,workflow,JIM_PAT,secret,step,public,0,0,0,https://github.com/docker/labs-ai-tools-for-devs/blob/main/.github/workflows/prompts-docker.yml,https://github.com/docker/labs-ai-tools-for-devs
labs-ai-tools-for-devs,prompts-docker.yml,workflow,JIM_USERNAME,secret,step,public,0,0,0,https://github.com/docker/labs-ai-tools-for-devs/blob/main/.github/workflows/prompts-docker.yml,https://github.com/docker/labs-ai-tools-for-devs
mcp-registry,auto-merge-pins.yaml,workflow,MCP_REGISTRY_BOT_APP_ID,variable,step,public,0,0,0,https://github.com/docker/mcp-registry/blob/main/.github/workflows/auto-merge-pins.yaml,https://github.com/docker/mcp-registry
mcp-registry,security-review-changes.yaml,workflow,MCP_REGISTRY_BOT_APP_ID,variable,step,public,0,0,0,https://github.com/docker/mcp-registry/blob/main/.github/workflows/security-review-changes.yaml,https://github.com/docker/mcp-registry
mcp-registry,security-review-manual.yaml,workflow,MCP_REGISTRY_BOT_APP_ID,variable,step,public,0,0,0,https://github.com/docker/mcp-registry/blob/main/.github/workflows/security-review-manual.yaml,https://github.com/docker/mcp-registry
mcp-registry,security-review-trigger.yaml,workflow,MCP_REGISTRY_BOT_APP_ID,variable,step,public,0,0,0,https://github.com/docker/mcp-registry/blob/main/.github/workflows/security-review-trigger.yaml,https://github.com/docker/mcp-registry
mcp-registry,update-pins.yaml,workflow,MCP_REGISTRY_BOT_APP_ID,variable,step,public,0,0,0,https://github.com/docker/mcp-registry/blob/main/.github/workflows/update-pins.yaml,https://github.com/docker/mcp-registry
