repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
pgjdbc,nightlysnapshot.yml,workflow,NEXUS_USERNAME,secret,step,public,1,1,0,https://github.com/awslabs/pgjdbc/blob/master/.github/workflows/nightlysnapshot.yml,https://github.com/awslabs/pgjdbc
mlspace,code.end-to-end-test.yml,workflow,NON_ADMIN_PASS,secret,step,public,0,0,0,https://github.com/awslabs/mlspace/blob/main/.github/workflows/code.end-to-end-test.yml,https://github.com/awslabs/mlspace
mlspace,code.end-to-end-test.yml,workflow,NON_ADMIN_USER,variable,step,public,0,0,0,https://github.com/awslabs/mlspace/blob/main/.github/workflows/code.end-to-end-test.yml,https://github.com/awslabs/mlspace
aws-proton-plugins-for-backstage,release.yml,workflow,NPM_AUTH_TOKEN,secret,step,public,1,0,0,https://github.com/awslabs/aws-proton-plugins-for-backstage/blob/main/.github/workflows/release.yml,https://github.com/awslabs/aws-proton-plugins-for-backstage
aws-wasm-checksums,publish.yml,workflow,NPM_AWS_WASM_CHECKSUMS_PUBLISH,secret,step,public,0,0,0,https://github.com/awslabs/aws-wasm-checksums/blob/main/.github/workflows/publish.yml,https://github.com/awslabs/aws-wasm-checksums
amplify-video,publish.yml,workflow,NPM_TOKEN,secret,step,public,1,0,0,https://github.com/awslabs/amplify-video/blob/master/.github/workflows/publish.yml,https://github.com/awslabs/amplify-video
aurora-dsql-tools,dsql-lint-release.yml,workflow,NPM_TOKEN,secret,step,public,0,0,0,https://github.com/awslabs/aurora-dsql-tools/blob/main/.github/workflows/dsql-lint-release.yml,https://github.com/awslabs/aurora-dsql-tools
aws-break-glass-role,release.yml,workflow,NPM_TOKEN,secret,step,public,0,0,0,https://github.com/awslabs/aws-break-glass-role/blob/main/.github/workflows/release.yml,https://github.com/awslabs/aws-break-glass-role
aws-bootstrap-kit,release.yml,workflow,NPM_TOKEN,secret,step,public,1,0,0,https://github.com/awslabs/aws-bootstrap-kit/blob/main/.github/workflows/release.yml,https://github.com/awslabs/aws-bootstrap-kit
aws-dynasync,release.yml,workflow,NPM_TOKEN,secret,step,public,0,0,0,https://github.com/awslabs/aws-dynasync/blob/main/.github/workflows/release.yml,https://github.com/awslabs/aws-dynasync
aws-sdk-v3-js-proxy,release.yml,workflow,NPM_TOKEN,secret,job,public,0,0,0,https://github.com/awslabs/aws-sdk-v3-js-proxy/blob/main/.github/workflows/release.yml,https://github.com/awslabs/aws-sdk-v3-js-proxy
cdk-serverless-clamscan,release.yml,workflow,NPM_TOKEN,secret,step,public,0,0,0,https://github.com/awslabs/cdk-serverless-clamscan/blob/main/.github/workflows/release.yml,https://github.com/awslabs/cdk-serverless-clamscan
cloudfront-hosting-toolkit,npm-publish.yml,workflow,NPM_TOKEN,secret,step,public,0,0,0,https://github.com/awslabs/cloudfront-hosting-toolkit/blob/main/.github/workflows/npm-publish.yml,https://github.com/awslabs/cloudfront-hosting-toolkit
fhir-works-on-aws-deployment,build-and-validate.yaml,workflow,NPM_TOKEN,secret,step,public,1,0,0,https://github.com/awslabs/fhir-works-on-aws-deployment/blob/mainline/.github/workflows/build-and-validate.yaml,https://github.com/awslabs/fhir-works-on-aws-deployment
fhir-works-on-aws-deployment,deploy.yaml,workflow,NPM_TOKEN,secret,step,public,1,0,0,https://github.com/awslabs/fhir-works-on-aws-deployment/blob/mainline/.github/workflows/deploy.yaml,https://github.com/awslabs/fhir-works-on-aws-deployment
