org,repo,workflow,ref,url,name,type
awslabs,LISA,.github/workflows/code.end-to-end-test.nightly.yml,main,https://github.com/awslabs/LISA/blob/9b075b251a09b086e84ab7e1e0b6a95831d4c568/.github/workflows/code.end-to-end-test.nightly.yml,TEST_ACCOUNT_PASSWORD,secret
awslabs,mcp,.github/workflows/aws-api-mcp-upgrade-version.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/aws-api-mcp-upgrade-version.yml,BOT_GITHUB_TOKEN,secret
awslabs,mcp,.github/workflows/aws-api-mcp-upgrade-version.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/aws-api-mcp-upgrade-version.yml,GPG_PRIVATE_KEY,secret
awslabs,mcp,.github/workflows/aws-api-mcp-upgrade-version.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/aws-api-mcp-upgrade-version.yml,GPG_PASSPHRASE,secret
awslabs,mcp,.github/workflows/aws-api-mcp-upgrade-version.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/aws-api-mcp-upgrade-version.yml,GPG_KEY_ID,secret
awslabs,mcp,.github/workflows/aws-api-mcp-upgrade-version.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/aws-api-mcp-upgrade-version.yml,BOT_USER_EMAIL,variable
awslabs,mcp,.github/workflows/aws-api-mcp-upgrade-version.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/aws-api-mcp-upgrade-version.yml,BOT_USER_NAME,variable
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,SRC_DIRECTORY,secret
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,BOT_GITHUB_TOKEN,secret
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,GPG_PRIVATE_KEY,secret
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,GPG_PASSPHRASE,secret
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,GPG_KEY_ID,secret
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,BOT_USER_EMAIL,variable
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,BOT_USER_NAME,variable
awslabs,mcp,.github/workflows/release-initiate-branch.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-initiate-branch.yml,SRC_DIRECTORY,variable
awslabs,mcp,.github/workflows/release-merge-tag.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-merge-tag.yml,BOT_GITHUB_TOKEN,secret
awslabs,mcp,.github/workflows/release-merge-tag.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-merge-tag.yml,GPG_PRIVATE_KEY,secret
awslabs,mcp,.github/workflows/release-merge-tag.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-merge-tag.yml,GPG_PASSPHRASE,secret
awslabs,mcp,.github/workflows/release-merge-tag.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-merge-tag.yml,GPG_KEY_ID,secret
awslabs,mcp,.github/workflows/release-merge-tag.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-merge-tag.yml,BOT_USER_EMAIL,variable
awslabs,mcp,.github/workflows/release-merge-tag.yml,main,https://github.com/awslabs/mcp/blob/5cf3b2cdb64cde3c3e790813f494ad599daf9d8d/.github/workflows/release-merge-tag.yml,BOT_USER_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,S3_BENCH_BUCKET_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,S3_BUCKET_BENCH_PREFIX,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,BENCH_FILE_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,SMALL_BENCH_FILE_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,S3_BENCH_ENDPOINT_URL,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,S3_BENCH_REGION,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,ACTIONS_BENCH_IAM_ROLE,variable
awslabs,mountpoint-s3,.github/workflows/bench.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench.yml,S3_BENCH_RESULTS_BUCKET_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,S3_EXPRESS_ONE_ZONE_BENCH_BUCKET_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,S3_BUCKET_BENCH_PREFIX,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,BENCH_FILE_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,SMALL_BENCH_FILE_NAME,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,S3_EXPRESS_ONE_ZONE_BENCH_ENDPOINT_URL,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,S3_BENCH_REGION,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,ACTIONS_BENCH_IAM_ROLE,variable
awslabs,mountpoint-s3,.github/workflows/bench_s3express.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/bench_s3express.yml,S3_BENCH_RESULTS_BUCKET_NAME,variable
awslabs,mountpoint-s3,.github/workflows/integration.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/integration.yml,S3_BUCKET_NAME,variable
awslabs,mountpoint-s3,.github/workflows/integration.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/integration.yml,S3_SECOND_BUCKET_NAME,variable
awslabs,mountpoint-s3,.github/workflows/integration.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/integration.yml,S3_EXPRESS_ONE_ZONE_BUCKET_NAME,variable
awslabs,mountpoint-s3,.github/workflows/integration.yml,main,https://github.com/awslabs/mountpoint-s3/blob/5502a861ee11eaa6dc61aa8e711262b2d4388d8c/.github/workflows/integration.yml,S3_ENDPOINT_URL,variable
