repo_name,workflow_path,workflow_type,visibility,archived,forked,total_jobs,reusable_workflow,workflow_url,repo_url
awesome-copilot,validate-agentic-workflows-pr.yml,workflow,public,0,0,2,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/validate-agentic-workflows-pr.yml,https://github.com/github/awesome-copilot
awesome-copilot,validate-canvas-extensions.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/validate-canvas-extensions.yml,https://github.com/github/awesome-copilot
awesome-copilot,validate-readme.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/validate-readme.yml,https://github.com/github/awesome-copilot
awesome-copilot,webhook-caller.yml,workflow,public,0,0,1,0,https://github.com/github/awesome-copilot/blob/main/.github/workflows/webhook-caller.yml,https://github.com/github/awesome-copilot
backup-utils,close-pulls.yml,workflow,public,0,0,1,0,https://github.com/github/backup-utils/blob/master/.github/workflows/close-pulls.yml,https://github.com/github/backup-utils
balanced-employee-ip-agreement,main.yml,workflow,public,0,0,1,0,https://github.com/github/balanced-employee-ip-agreement/blob/main/.github/workflows/main.yml,https://github.com/github/balanced-employee-ip-agreement
branch-deploy,action.yml,action,public,0,0,1,0,https://github.com/github/branch-deploy/blob/v10/action.yml,https://github.com/github/branch-deploy
branch-deploy,actions-config-validation.yml,workflow,public,0,0,1,0,https://github.com/github/branch-deploy/blob/main/.github/workflows/actions-config-validation.yml,https://github.com/github/branch-deploy
branch-deploy,copilot-setup-steps.yml,workflow,public,0,0,1,0,https://github.com/github/branch-deploy/blob/main/.github/workflows/copilot-setup-steps.yml,https://github.com/github/branch-deploy
branch-deploy,lint.yml,workflow,public,0,0,1,0,https://github.com/github/branch-deploy/blob/main/.github/workflows/lint.yml,https://github.com/github/branch-deploy
branch-deploy,package-check.yml,workflow,public,0,0,1,0,https://github.com/github/branch-deploy/blob/main/.github/workflows/package-check.yml,https://github.com/github/branch-deploy
branch-deploy,test.yml,workflow,public,0,0,1,0,https://github.com/github/branch-deploy/blob/main/.github/workflows/test.yml,https://github.com/github/branch-deploy
branch-deploy,update-latest-release-tag.yml,workflow,public,0,0,1,0,https://github.com/github/branch-deploy/blob/main/.github/workflows/update-latest-release-tag.yml,https://github.com/github/branch-deploy
brasil,trigger-deploy-on-comment.yml,workflow,public,1,0,1,0,https://github.com/github/brasil/blob/main/.github/workflows/trigger-deploy-on-comment.yml,https://github.com/github/brasil
brasil,website-pr-validation.yml,workflow,public,1,0,2,0,https://github.com/github/brasil/blob/main/.github/workflows/website-pr-validation.yml,https://github.com/github/brasil
browser-support,nodejs.yml,workflow,public,0,0,1,0,https://github.com/github/browser-support/blob/main/.github/workflows/nodejs.yml,https://github.com/github/browser-support
browser-support,publish.yml,workflow,public,0,0,1,0,https://github.com/github/browser-support/blob/main/.github/workflows/publish.yml,https://github.com/github/browser-support
browserslist-config,publish.yml,workflow,public,0,0,1,0,https://github.com/github/browserslist-config/blob/main/.github/workflows/publish.yml,https://github.com/github/browserslist-config
catalyst,lighthouse.yml,workflow,public,0,0,1,0,https://github.com/github/catalyst/blob/main/.github/workflows/lighthouse.yml,https://github.com/github/catalyst
catalyst,nodejs.yml,workflow,public,0,0,1,0,https://github.com/github/catalyst/blob/main/.github/workflows/nodejs.yml,https://github.com/github/catalyst
catalyst,publish.yml,workflow,public,0,0,1,0,https://github.com/github/catalyst/blob/main/.github/workflows/publish.yml,https://github.com/github/catalyst
ccql,ci.yml,workflow,public,1,0,1,0,https://github.com/github/ccql/blob/master/.github/workflows/ci.yml,https://github.com/github/ccql
certstore,github-release.yml,workflow,public,1,0,1,0,https://github.com/github/certstore/blob/main/.github/workflows/github-release.yml,https://github.com/github/certstore
certstore,test-macos-recent-go-versions.yml,workflow,public,1,0,1,0,https://github.com/github/certstore/blob/main/.github/workflows/test-macos-recent-go-versions.yml,https://github.com/github/certstore
certstore,test-windows-recent-go-versions.yml,workflow,public,1,0,1,0,https://github.com/github/certstore/blob/main/.github/workflows/test-windows-recent-go-versions.yml,https://github.com/github/certstore
chatops-controller,ruby.yml,workflow,public,0,0,1,0,https://github.com/github/chatops-controller/blob/master/.github/workflows/ruby.yml,https://github.com/github/chatops-controller
check-all,nodejs.yml,workflow,public,0,0,1,0,https://github.com/github/check-all/blob/main/.github/workflows/nodejs.yml,https://github.com/github/check-all
check-all,publish.yml,workflow,public,0,0,1,0,https://github.com/github/check-all/blob/main/.github/workflows/publish.yml,https://github.com/github/check-all
choosealicense.com,test.yml,workflow,public,0,0,1,0,https://github.com/github/choosealicense.com/blob/gh-pages/.github/workflows/test.yml,https://github.com/github/choosealicense.com
clipboard-copy-element,nodejs.yml,workflow,public,0,0,1,0,https://github.com/github/clipboard-copy-element/blob/main/.github/workflows/nodejs.yml,https://github.com/github/clipboard-copy-element
clipboard-copy-element,publish.yml,workflow,public,0,0,1,0,https://github.com/github/clipboard-copy-element/blob/main/.github/workflows/publish.yml,https://github.com/github/clipboard-copy-element
cmark-gfm,ci.yml,workflow,public,0,1,3,0,https://github.com/github/cmark-gfm/blob/master/.github/workflows/ci.yml,https://github.com/github/cmark-gfm
cmark-gfm,codeql.yml,workflow,public,0,1,1,0,https://github.com/github/cmark-gfm/blob/master/.github/workflows/codeql.yml,https://github.com/github/cmark-gfm
codemirror-contrib,publish.yml,workflow,public,1,0,1,0,https://github.com/github/codemirror-contrib/blob/main/.github/workflows/publish.yml,https://github.com/github/codemirror-contrib
codeql,.github/actions/cache-query-compilation/action.yml,action,public,0,0,1,0,https://github.com/github/codeql/blob/main/.github/actions/cache-query-compilation/action.yml,https://github.com/github/codeql
codeql,.github/actions/fetch-codeql/action.yml,action,public,0,0,1,0,https://github.com/github/codeql/blob/main/.github/actions/fetch-codeql/action.yml,https://github.com/github/codeql
codeql,.github/actions/os-version/action.yml,action,public,0,0,1,0,https://github.com/github/codeql/blob/main/.github/actions/os-version/action.yml,https://github.com/github/codeql
