repo_name,workflow_path,workflow_type,variable_name,variable_type,variable_location,visibility,archived,forked,reusable_workflow,workflow_url,repo_url
gh-aw,step-name-alignment.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/step-name-alignment.lock.yml,https://github.com/github/gh-aw
gh-aw,test-create-pr-error-handling.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/test-create-pr-error-handling.lock.yml,https://github.com/github/gh-aw
gh-aw,typist.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/typist.lock.yml,https://github.com/github/gh-aw
gh-aw-threat-detection,replay-detection.yml,workflow,ANTHROPIC_API_KEY,secret,job,public,0,0,0,https://github.com/github/gh-aw-threat-detection/blob/main/.github/workflows/replay-detection.yml,https://github.com/github/gh-aw-threat-detection
gh-aw-threat-detection,smoke-claude-container.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw-threat-detection/blob/main/.github/workflows/smoke-claude-container.lock.yml,https://github.com/github/gh-aw-threat-detection
gh-aw-threat-detection,smoke-claude.lock.yml,workflow,ANTHROPIC_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw-threat-detection/blob/main/.github/workflows/smoke-claude.lock.yml,https://github.com/github/gh-aw-threat-detection
gh-aw,smoke-antigravity.lock.yml,workflow,ANTIGRAVITY_API_KEY,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/smoke-antigravity.lock.yml,https://github.com/github/gh-aw
gh-aw,aoai-endpoint-smoke-test.yml,workflow,AOAI_KEY_GITHUBNEXT_EASTUS2,secret,step,public,0,0,0,https://github.com/github/gh-aw/blob/main/.github/workflows/aoai-endpoint-smoke-test.yml,https://github.com/github/gh-aw
gh-aw-threat-detection,aoai-endpoint-smoke-test.yml,workflow,AOAI_KEY_GITHUBNEXT_EASTUS2,secret,step,public,0,0,0,https://github.com/github/gh-aw-threat-detection/blob/main/.github/workflows/aoai-endpoint-smoke-test.yml,https://github.com/github/gh-aw-threat-detection
safe-settings,create-pre-release.yml,workflow,APP_ID,secret,step,public,0,0,0,https://github.com/github/safe-settings/blob/main-enterprise/.github/workflows/create-pre-release.yml,https://github.com/github/safe-settings
safe-settings,create-release.yml,workflow,APP_ID,secret,step,public,0,0,0,https://github.com/github/safe-settings/blob/main-enterprise/.github/workflows/create-release.yml,https://github.com/github/safe-settings
safe-settings,deploy-k8s.yml,workflow,APP_ID,secret,step,public,0,0,0,https://github.com/github/safe-settings/blob/main-enterprise/.github/workflows/deploy-k8s.yml,https://github.com/github/safe-settings
vscode-codeql,main.yml,workflow,APP_INSIGHTS_KEY,secret,step,public,0,0,0,https://github.com/github/vscode-codeql/blob/main/.github/workflows/main.yml,https://github.com/github/vscode-codeql
vscode-codeql,release.yml,workflow,APP_INSIGHTS_KEY,secret,step,public,0,0,0,https://github.com/github/vscode-codeql/blob/main/.github/workflows/release.yml,https://github.com/github/vscode-codeql
codeql-coding-standards,dispatch-matrix-test-on-comment.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/dispatch-matrix-test-on-comment.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,dispatch-release-performance-check.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/dispatch-release-performance-check.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,finalize-release.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/finalize-release.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,prepare-release.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/prepare-release.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,update-release.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,1,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/update-release.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,validate-release.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/validate-release.yml,https://github.com/github/codeql-coding-standards
codeql-action,post-release-mergeback.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/post-release-mergeback.yml,https://github.com/github/codeql-action
codeql-action,rollback-release.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/rollback-release.yml,https://github.com/github/codeql-action
codeql-action,update-release-branch.yml,workflow,AUTOMATION_APP_ID,variable,step,public,0,0,0,https://github.com/github/codeql-action/blob/main/.github/workflows/update-release-branch.yml,https://github.com/github/codeql-action
codeql-coding-standards,dispatch-matrix-test-on-comment.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/dispatch-matrix-test-on-comment.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,dispatch-release-performance-check.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/dispatch-release-performance-check.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,finalize-release.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/finalize-release.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,prepare-release.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/prepare-release.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,update-release-status.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,job,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/update-release-status.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,update-release.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,1,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/update-release.yml,https://github.com/github/codeql-coding-standards
codeql-coding-standards,validate-release.yml,workflow,AUTOMATION_PRIVATE_KEY,secret,step,public,0,0,0,https://github.com/github/codeql-coding-standards/blob/main/.github/workflows/validate-release.yml,https://github.com/github/codeql-coding-standards
